index	TB/day min	TB/day max	nwarcs	mon005-cl3-mka-ova1.du.cesnet.cz:TB/day min	mon005-cl3-mka-ova1.du.cesnet.cz:TB/day max	mon005-cl3-mka-ova1.du.cesnet.cz:nwarcs	mon004-cl3-mka-ova1.du.cesnet.cz:TB/day min	mon004-cl3-mka-ova1.du.cesnet.cz:TB/day max	mon004-cl3-mka-ova1.du.cesnet.cz:nwarcs	mon006-cl3-mka-ova1.du.cesnet.cz:TB/day min	mon006-cl3-mka-ova1.du.cesnet.cz:TB/day max	mon006-cl3-mka-ova1.du.cesnet.cz:nwarcs	mon007-cl3-mka-ova1.du.cesnet.cz:TB/day min	mon007-cl3-mka-ova1.du.cesnet.cz:TB/day max	mon007-cl3-mka-ova1.du.cesnet.cz:nwarcs	mon008-cl3-mka-ova1.du.cesnet.cz:TB/day min	mon008-cl3-mka-ova1.du.cesnet.cz:TB/day max	mon008-cl3-mka-ova1.du.cesnet.cz:nwarcs	ts
count	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108.0	108
mean	76.51277388411053	77.00565870935706	265.31481481481484	14.45687373575224	14.567379394365597	50.2037037037037	15.339066273399878	15.439969950182457	53.5462962962963	15.06925475661119	15.161296397601198	51.46296296296296	15.472947449662158	15.551722476841483	53.416666666666664	16.174631668685077	16.285290490366336	56.68518518518518	2025-03-04 10:55:16.655918080
min	0.4298751056980895	0.4298751056980895	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4298751056980895	0.4298751056980895	1.0	0.0	0.0	0.0	2025-03-04 02:00:16.655918
25%	66.09055125854155	70.31824309716885	243.0	11.338432188310668	12.317778593540313	40.0	13.81420050967001	14.535453888158381	50.0	12.107940637604381	12.934096600719199	43.0	13.439596468962746	14.426585070732072	49.0	15.49086630135362	16.154571367698814	61.0	2025-03-04 06:27:46.655918080
50%	90.11597850229906	90.1513813573698	315.0	17.791415539149106	17.79345039494824	63.0	17.907620094936703	17.915442251077568	63.0	18.214104924761173	18.224335757576178	63.0	18.119047203487078	18.122769678449473	63.0	18.093158053536122	18.097358718545443	63.0	2025-03-04 10:55:16.655918080
75%	90.9284870852495	90.9600654144717	315.0	17.96333556956506	17.963426886871638	63.0	18.098064308136312	18.109266835974534	63.0	18.380907201403488	18.381558156347182	63.0	18.27078478750593	18.27220639807427	63.0	18.194517340088993	18.19841026612583	63.0	2025-03-04 15:22:46.655918080
max	91.6383999926831	104.46091689882438	315.0	18.142840999880608	20.77918461534455	63.0	18.26664085269621	20.4820294875826	63.0	19.053283124507505	21.00779242193321	63.0	18.482532336728543	20.726619314858304	63.0	18.336397102414445	21.465291059105702	63.0	2025-03-04 19:50:16.655918
std	24.565259660901397	24.587241683223535	85.34806669603262	5.7311065855132535	5.736937382676567	20.206300146083922	4.7811865723257645	4.773591068889032	16.69483341605698	5.538562360274113	5.554010609997123	19.074583532365654	4.839351208072964	4.855105615610909	16.83516846355455	3.779437104504884	3.7574970555497167	13.135987629159192	
