Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
51	:	1701641158.000	  1017.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/da/da_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/da/da_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
33	:	1701641157.000	  1137.000	0	97	0	0	echo /nird/datalake/NS8112K/one/cleaned/ur/ur_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/ur/ur_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
12	:	1701641157.000	  1184.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/sk/sk_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/sk/sk_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
139	:	1701641158.000	  1215.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_196.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_196.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
23	:	1701641157.000	  1364.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/hi/hi_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/hi/hi_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
79	:	1701641158.000	  1542.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/hu/hu_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/hu/hu_3.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
133	:	1701641158.000	  1565.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_83.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_83.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
8	:	1701641157.000	  1595.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/fi/fi_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/fi/fi_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
47	:	1701641158.000	  1616.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/hbs/hbs_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/hbs/hbs_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
55	:	1701641158.000	  1621.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/tr/tr_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/tr/tr_4.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
18	:	1701641157.000	  1736.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/pl/pl_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pl/pl_3.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
76	:	1701641158.000	  1809.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/he/he_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/he/he_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
24	:	1701641157.000	  1888.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/hi/hi_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/hi/hi_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
27	:	1701641157.000	  1966.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/pt/pt_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pt/pt_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
237	:	1701641158.000	  2016.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_84.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_84.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
208	:	1701641158.000	  2063.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_102.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_102.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
230	:	1701641158.000	  2093.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_87.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_87.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
54	:	1701641158.000	  2172.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/tr/tr_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/tr/tr_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
16	:	1701641157.000	  2205.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/sv/sv_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/sv/sv_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
130	:	1701641158.000	  2215.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_101.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_101.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
193	:	1701641158.000	  2251.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_80.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_80.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
217	:	1701641158.000	  2289.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_73.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_73.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
215	:	1701641158.000	  2345.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_81.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_81.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
70	:	1701641158.000	  2349.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/nl/nl_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/nl/nl_4.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
7	:	1701641157.000	  2351.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/fi/fi_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/fi/fi_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
10	:	1701641157.000	  2367.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/nb/nb_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/nb/nb_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
74	:	1701641158.000	  2374.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/ko/ko_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/ko/ko_4.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
66	:	1701641158.000	  2407.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/ca/ca_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/ca/ca_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
19	:	1701641157.000	  2431.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/pl/pl_4.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pl/pl_4.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
26	:	1701641157.000	  2451.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/pt/pt_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pt/pt_5.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
20	:	1701641157.000	  2535.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/pl/pl_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/pl/pl_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
61	:	1701641158.000	  2535.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/ar/ar_5.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/ar/ar_5.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
134	:	1701641158.000	  2548.000	0	99	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_74.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_74.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
78	:	1701641158.000	  2580.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/hu/hu_2.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/hu/hu_2.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
69	:	1701641158.000	  2585.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/nl/nl_3.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/nl/nl_3.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
174	:	1701641158.000	  2614.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_113.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_113.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
92	:	1701641158.000	  2654.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/es/es_8.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/es/es_8.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
210	:	1701641158.000	  2738.000	0	102	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_180.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_180.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
238	:	1701641158.000	  2845.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_41.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_41.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
132	:	1701641158.000	  2888.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_19.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_19.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
188	:	1701641158.000	  2918.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_20.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_20.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
264	:	1701642175.000	  1913.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_181.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_181.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
38	:	1701641158.000	  2933.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/el/el_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/el/el_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
168	:	1701641158.000	  2956.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_27.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_27.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
50	:	1701641158.000	  2964.000	0	98	0	0	echo /nird/datalake/NS8112K/one/cleaned/da/da_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/da/da_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
143	:	1701641158.000	  2973.000	0	100	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_6.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_6.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
180	:	1701641158.000	  2975.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_120.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_120.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
172	:	1701641158.000	  2976.000	0	101	0	0	echo /nird/datalake/NS8112K/one/cleaned/en/en_12.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/en/en_12.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
299	:	1701643772.000	   363.000	0	94	0	0	echo /nird/datalake/NS8112K/one/cleaned/my/my_1.jsonl.zst|tr '\n' ' '; zstdcat /nird/datalake/NS8112K/one/cleaned/my/my_1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
