path docs
/nird/home/nikolare/hplt/public/two/annotated/wide12/mri_Latn/1.jsonl.zst 68103
/nird/home/nikolare/hplt/public/two/annotated/cc19/tso_Latn/1.jsonl.zst 1552
/nird/home/nikolare/hplt/public/two/annotated/cc19/mni_Beng/1.jsonl.zst 118
/nird/home/nikolare/hplt/public/two/annotated/wide12/lus_Latn/1.jsonl.zst 117207
/nird/home/nikolare/hplt/public/two/annotated/wide12/bak_Cyrl/1.jsonl.zst 70825
/nird/home/nikolare/hplt/public/two/annotated/cc19/hau_Latn/1.jsonl.zst 12201
/nird/home/nikolare/hplt/public/two/annotated/cc19/mai_Deva/1.jsonl.zst 1416
/nird/home/nikolare/hplt/public/two/annotated/cc19/sna_Latn/1.jsonl.zst 8531
/nird/home/nikolare/hplt/public/two/annotated/wide12/rus_Cyrl/6.jsonl.zst 34805
/nird/home/nikolare/hplt/public/two/annotated/wide12/ban_Latn/1.jsonl.zst 30766
/nird/home/nikolare/hplt/public/two/annotated/wide12/lin_Latn/1.jsonl.zst 92883
/nird/home/nikolare/hplt/public/two/annotated/cc19/knc_Latn/1.jsonl.zst 259
/nird/home/nikolare/hplt/public/two/annotated/cc19/dik_Latn/1.jsonl.zst 448
/nird/home/nikolare/hplt/public/two/annotated/cc19/tzm_Tfng/1.jsonl.zst 65
/nird/home/nikolare/hplt/public/two/annotated/cc19/azb_Arab/1.jsonl.zst 3534
/nird/home/nikolare/hplt/public/two/annotated/wide12/ydd_Hebr/1.jsonl.zst 54021
/nird/home/nikolare/hplt/public/two/annotated/cc19/ory_Orya/1.jsonl.zst 6511
/nird/home/nikolare/hplt/public/two/annotated/cc19/bod_Tibt/1.jsonl.zst 2887
/nird/home/nikolare/hplt/public/two/annotated/cc19/yor_Latn/1.jsonl.zst 15818
/nird/home/nikolare/hplt/public/two/annotated/cc19/mos_Latn/1.jsonl.zst 2522
/nird/home/nikolare/hplt/public/two/annotated/cc19/sot_Latn/1.jsonl.zst 2608
/nird/home/nikolare/hplt/public/two/annotated/cc19/kik_Latn/1.jsonl.zst 910
/nird/home/nikolare/hplt/public/two/annotated/cc19/tsn_Latn/1.jsonl.zst 3430
/nird/home/nikolare/hplt/public/two/annotated/cc19/hne_Deva/1.jsonl.zst 4262
/nird/home/nikolare/hplt/public/two/annotated/cc19/ilo_Latn/1.jsonl.zst 23092
/nird/home/nikolare/hplt/public/two/annotated/cc19/tuk_Latn/1.jsonl.zst 5143
/nird/home/nikolare/hplt/public/two/annotated/cc19/bjn_Latn/1.jsonl.zst 9619
/nird/home/nikolare/hplt/public/two/annotated/cc19/zul_Latn/1.jsonl.zst 11862
/nird/home/nikolare/hplt/public/two/annotated/cc19/run_Latn/1.jsonl.zst 13486
/nird/home/nikolare/hplt/public/two/annotated/cc19/dzo_Tibt/1.jsonl.zst 328
/nird/home/nikolare/hplt/public/two/annotated/wide12/bho_Deva/1.jsonl.zst 14353
/nird/home/nikolare/hplt/public/two/annotated/cc19/szl_Latn/1.jsonl.zst 10845
/nird/home/nikolare/hplt/public/two/annotated/cc19/ewe_Latn/1.jsonl.zst 4166
/nird/home/nikolare/hplt/public/two/annotated/cc19/kac_Latn/1.jsonl.zst 943
/nird/home/nikolare/hplt/public/two/annotated/cc19/fon_Latn/1.jsonl.zst 562
/nird/home/nikolare/hplt/public/two/annotated/cc19/fuv_Latn/1.jsonl.zst 1242
/nird/home/nikolare/hplt/public/two/annotated/cc19/kon_Latn/1.jsonl.zst 408
/nird/home/nikolare/hplt/public/two/annotated/cc19/ace_Arab/1.jsonl.zst 106
/nird/home/nikolare/hplt/public/two/annotated/cc19/tum_Latn/1.jsonl.zst 413
/nird/home/nikolare/hplt/public/two/annotated/cc19/ssw_Latn/1.jsonl.zst 1769
/nird/home/nikolare/hplt/public/two/annotated/cc19/dyu_Latn/1.jsonl.zst 55
/nird/home/nikolare/hplt/public/two/annotated/cc19/asm_Beng/1.jsonl.zst 2083
/nird/home/nikolare/hplt/public/two/annotated/cc19/bug_Latn/1.jsonl.zst 5568
/nird/home/nikolare/hplt/public/two/annotated/cc19/mag_Deva/1.jsonl.zst 435
/nird/home/nikolare/hplt/public/two/annotated/cc19/knc_Arab/1.jsonl.zst 25
/nird/home/nikolare/hplt/public/two/annotated/cc19/kmr_Latn/1.jsonl.zst 6402
/nird/home/nikolare/hplt/public/two/annotated/cc19/kin_Latn/1.jsonl.zst 20290
/nird/home/nikolare/hplt/public/two/annotated/cc19/lus_Latn/1.jsonl.zst 11507
/nird/home/nikolare/hplt/public/two/annotated/cc19/ban_Latn/1.jsonl.zst 3046
/nird/home/nikolare/hplt/public/two/annotated/cc19/smo_Latn/1.jsonl.zst 2714
/nird/home/nikolare/hplt/public/two/annotated/cc19/lua_Latn/1.jsonl.zst 894
/nird/home/nikolare/hplt/public/two/annotated/cc19/luo_Latn/1.jsonl.zst 1419
/nird/home/nikolare/hplt/public/two/annotated/cc19/tpi_Latn/1.jsonl.zst 13018
/nird/home/nikolare/hplt/public/two/annotated/cc19/ace_Latn/1.jsonl.zst 11254
/nird/home/nikolare/hplt/public/two/annotated/cc19/fao_Latn/1.jsonl.zst 10300
/nird/home/nikolare/hplt/public/two/annotated/cc19/min_Latn/1.jsonl.zst 7874
/nird/home/nikolare/hplt/public/two/annotated/cc19/shn_Mymr/1.jsonl.zst 240
/nird/home/nikolare/hplt/public/two/annotated/cc19/cjk_Latn/1.jsonl.zst 183
/nird/home/nikolare/hplt/public/two/annotated/wide12/san_Deva/1.jsonl.zst 16602
/nird/home/nikolare/hplt/public/two/annotated/cc19/grn_Latn/1.jsonl.zst 79470
/nird/home/nikolare/hplt/public/two/annotated/cc19/mlt_Latn/1.jsonl.zst 64169
/nird/home/nikolare/hplt/public/two/annotated/cc19/awa_Deva/1.jsonl.zst 25580
/nird/home/nikolare/hplt/public/two/annotated/cc19/twi_Latn/1.jsonl.zst 6141
/nird/home/nikolare/hplt/public/two/annotated/cc19/quy_Latn/1.jsonl.zst 3677
/nird/home/nikolare/hplt/public/two/annotated/cc19/nya_Latn/1.jsonl.zst 3006
/nird/home/nikolare/hplt/public/two/annotated/cc19/cym_Latn/1.jsonl.zst 32743
/nird/home/nikolare/hplt/public/two/annotated/cc19/swh_Latn/1.jsonl.zst 27495
/nird/home/nikolare/hplt/public/two/annotated/cc19/yue_Hant/1.jsonl.zst 18948
/nird/home/nikolare/hplt/public/two/annotated/cc19/jav_Latn/1.jsonl.zst 9462
/nird/home/nikolare/hplt/public/two/annotated/cc19/wol_Latn/1.jsonl.zst 19503
/nird/home/nikolare/hplt/public/two/annotated/cc19/bam_Latn/1.jsonl.zst 16513
/nird/home/nikolare/hplt/public/two/annotated/cc19/kmb_Latn/1.jsonl.zst 546
/nird/home/nikolare/hplt/public/two/annotated/wide12/pbt_Arab/1.jsonl.zst 27889
/nird/home/nikolare/hplt/public/two/annotated/cc19/sag_Latn/1.jsonl.zst 11618
/nird/home/nikolare/hplt/public/two/annotated/wide12/fao_Latn/1.jsonl.zst 35843
/nird/home/nikolare/hplt/public/two/annotated/wide12/ilo_Latn/1.jsonl.zst 220132
/nird/home/nikolare/hplt/public/two/annotated/cc19/som_Latn/1.jsonl.zst 26251
/nird/home/nikolare/hplt/public/two/annotated/cc19/kab_Latn/1.jsonl.zst 13242
/nird/home/nikolare/hplt/public/two/annotated/cc19/plt_Latn/1.jsonl.zst 5930
/nird/home/nikolare/hplt/public/two/annotated/cc19/taq_Latn/1.jsonl.zst 2012
/nird/home/nikolare/hplt/public/two/annotated/cc19/lao_Laoo/1.jsonl.zst 5487
/nird/home/nikolare/hplt/public/two/annotated/cc19/ltg_Latn/1.jsonl.zst 3827
/nird/home/nikolare/hplt/public/two/annotated/cc19/lug_Latn/1.jsonl.zst 2878
/nird/home/nikolare/hplt/public/two/annotated/cc19/bem_Latn/1.jsonl.zst 7913
/nird/home/nikolare/hplt/public/two/annotated/cc19/kas_Deva/1.jsonl.zst 145
/nird/home/nikolare/hplt/public/two/annotated/cc19/san_Deva/1.jsonl.zst 2507
/nird/home/nikolare/hplt/public/two/annotated/cc19/crh_Latn/1.jsonl.zst 14912
/nird/home/nikolare/hplt/public/two/annotated/wide12/hau_Latn/1.jsonl.zst 159570
/nird/home/nikolare/hplt/public/two/annotated/cc19/oci_Latn/1.jsonl.zst 39154
/nird/home/nikolare/hplt/public/two/annotated/cc19/kir_Cyrl/1.jsonl.zst 17307
/nird/home/nikolare/hplt/public/two/annotated/cc19/bak_Cyrl/1.jsonl.zst 7986
/nird/home/nikolare/hplt/public/two/annotated/cc19/pbt_Arab/1.jsonl.zst 7783
/nird/home/nikolare/hplt/public/two/annotated/wide12/yor_Latn/1.jsonl.zst 182501
/nird/home/nikolare/hplt/public/two/annotated/wide12/ceb_Latn/1.jsonl.zst 87626
/nird/home/nikolare/hplt/public/two/annotated/cc19/gle_Latn/1.jsonl.zst 23262
/nird/home/nikolare/hplt/public/two/annotated/cc19/kea_Latn/1.jsonl.zst 123
/nird/home/nikolare/hplt/public/two/annotated/cc19/sat_Olck/1.jsonl.zst 106
/nird/home/nikolare/hplt/public/two/annotated/cc19/kam_Latn/1.jsonl.zst 65
/nird/home/nikolare/hplt/public/two/annotated/cc19/pap_Latn/1.jsonl.zst 78188
/nird/home/nikolare/hplt/public/two/annotated/cc19/tat_Cyrl/1.jsonl.zst 19430
/nird/home/nikolare/hplt/public/two/annotated/cc19/fij_Latn/1.jsonl.zst 2414
/nird/home/nikolare/hplt/public/two/annotated/cc19/fur_Latn/1.jsonl.zst 78955
/nird/home/nikolare/hplt/public/two/annotated/cc19/nus_Latn/1.jsonl.zst 41
