path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/annotated/cc19/tsn_Latn/1.jsonl.zst   35085  169372 1035687 1047193
/nird/home/nikolare/hplt/public/two/annotated/wide12/ssw_Latn/1.jsonl.zst  786097 4550660 55924706 57137882
/nird/home/nikolare/hplt/public/two/annotated/cc19/ilo_Latn/1.jsonl.zst  216022 1111397 7655319 7731514
/nird/home/nikolare/hplt/public/two/annotated/cc19/azb_Arab/1.jsonl.zst   56623  512330 3406311 5768377
/nird/home/nikolare/hplt/public/two/annotated/cc19/tuk_Latn/1.jsonl.zst  145917 1271846 9550150 10435324
/nird/home/nikolare/hplt/public/two/annotated/wide12/smo_Latn/1.jsonl.zst  777943 6064008 54073698 55107778
/nird/home/nikolare/hplt/public/two/annotated/cc19/yor_Latn/1.jsonl.zst  212193 1484519 8473153 10581839
/nird/home/nikolare/hplt/public/two/annotated/cc19/bjn_Latn/1.jsonl.zst  283441 1548974 9901435 10594879
/nird/home/nikolare/hplt/public/two/annotated/cc19/hne_Deva/1.jsonl.zst   62274  256474 1637756 2161519
/nird/home/nikolare/hplt/public/two/annotated/wide12/lao_Laoo/1.jsonl.zst  315074 2408116 28494033 65548837
/nird/home/nikolare/hplt/public/two/annotated/wide12/bho_Deva/1.jsonl.zst  468894 2357655 12756035 28381378
/nird/home/nikolare/hplt/public/two/annotated/cc19/zul_Latn/1.jsonl.zst  254968 1405622 10751064 10908466
/nird/home/nikolare/hplt/public/two/annotated/wide12/bam_Latn/1.jsonl.zst  739398 2682783 18534307 19267066
/nird/home/nikolare/hplt/public/two/annotated/cc19/bod_Tibt/1.jsonl.zst   39580  263100 11446239 33589701
/nird/home/nikolare/hplt/public/two/annotated/wide12/nso_Latn/1.jsonl.zst  381762 3080966 34273004 34587653
/nird/home/nikolare/hplt/public/two/annotated/cc19/ory_Orya/1.jsonl.zst   69260 1606855 10366876 26519951
/nird/home/nikolare/hplt/public/two/annotated/cc19/szl_Latn/1.jsonl.zst  464056 3482925 21759392 22521353
/nird/home/nikolare/hplt/public/two/annotated/cc19/run_Latn/1.jsonl.zst  215020 1436699 12036392 12227273
/nird/home/nikolare/hplt/public/two/annotated/cc19/kac_Latn/1.jsonl.zst  210469  354869 4511475 4621673
/nird/home/nikolare/hplt/public/two/annotated/cc19/ssw_Latn/1.jsonl.zst   25400  135858 1058158 1072430
/nird/home/nikolare/hplt/public/two/annotated/cc19/fuv_Latn/1.jsonl.zst  103774  667698 7479130 7569134
/nird/home/nikolare/hplt/public/two/annotated/wide12/plt_Latn/1.jsonl.zst  957744 10214850 69817385 70873341
/nird/home/nikolare/hplt/public/two/annotated/cc19/dzo_Tibt/1.jsonl.zst   11864   47970  553405  893756
/nird/home/nikolare/hplt/public/two/annotated/wide12/luo_Latn/1.jsonl.zst  597825 5360224 68120501 68311845
/nird/home/nikolare/hplt/public/two/annotated/cc19/fon_Latn/1.jsonl.zst    7167   75714  403668  534246
/nird/home/nikolare/hplt/public/two/annotated/cc19/ace_Arab/1.jsonl.zst   16295   84076  447994  466226
/nird/home/nikolare/hplt/public/two/annotated/cc19/kon_Latn/1.jsonl.zst    2232   12653   78328   79935
/nird/home/nikolare/hplt/public/two/annotated/cc19/asm_Beng/1.jsonl.zst   57270  954985 6140727 15350932
/nird/home/nikolare/hplt/public/two/annotated/cc19/knc_Arab/1.jsonl.zst     890   10520   50844   70650
/nird/home/nikolare/hplt/public/two/annotated/cc19/dyu_Latn/1.jsonl.zst    1444   11252   78479   80920
/nird/home/nikolare/hplt/public/two/annotated/cc19/mag_Deva/1.jsonl.zst   35015  141530 1083985 1411251
/nird/home/nikolare/hplt/public/two/annotated/cc19/tum_Latn/1.jsonl.zst    3366   24548  166122  169941
/nird/home/nikolare/hplt/public/two/annotated/cc19/kin_Latn/1.jsonl.zst  150936  887202 6081427 6327235
/nird/home/nikolare/hplt/public/two/annotated/cc19/bug_Latn/1.jsonl.zst  169989  705163 4914826 5043940
/nird/home/nikolare/hplt/public/two/annotated/cc19/luo_Latn/1.jsonl.zst   15921   64876  326211  337271
/nird/home/nikolare/hplt/public/two/annotated/cc19/lua_Latn/1.jsonl.zst    8120   29993  185819  188863
/nird/home/nikolare/hplt/public/two/annotated/cc19/ban_Latn/1.jsonl.zst  104983  474989 3369548 3423562
/nird/home/nikolare/hplt/public/two/annotated/cc19/ewe_Latn/1.jsonl.zst   18862  164878  924966 1189774
/nird/home/nikolare/hplt/public/two/annotated/cc19/min_Latn/1.jsonl.zst  205694 1225011 8369560 8437809
