lang	text_newlines	text_wcwords	text_bytes	docs
aa	397181	2490504	20866640	9194
ab	107611	379880	5205238	1986
af	52483967	249354065	1675412979	197504
ak	1523176	3890002	24849541	16203
am	7062590	40050947	405151481	48869
ar	3089179506	14605860082	151111574276	13767882
as	1162987	7602476	107242012	10120
ay	67349	282782	2280795	2438
az	257893499	1282472028	10774372955	1163976
ba	366772	2578265	31936075	3634
be	70403387	286826246	3469843398	267985
bg	2466325782	10725150475	117484679756	9648342
bh	424263	3166152	36950391	7625
bi	380121	3334072	20532779	6551
bn	429636487	1994066690	29486341693	2442660
bo	3124440	7958393	370909465	26777
br	2234865	12854067	83691358	27884
bs	59585776	350425164	2544932959	559653
ca	626956589	3558643092	24234851357	4150444
ceb	7067728	32212418	198383457	28825
chr	20487	106711	801139	360
co	58572344	128966352	888515439	224304
crs	2225641	7121214	51144217	20364
cs	4554363861	17747129415	129275768901	21079575
cy	10871154	53863747	358135900	94798
da	3468564162	13895425486	95013414553	52993377
de	22425523452	106288966126	821750571788	148650904
dv	896828	5872936	91278109	12782
dz	460236	1251428	16721337	4420
el	2373426618	9898862322	112809334341	10361946
en	575418343847	2813926179768	19180278451606	4840164246
eo	4541358	28689288	198110418	34457
es	16504475945	83129660667	552731490217	91280795
et	579107605	2136384266	16800579875	2836780
eu	31808636	138048552	1062794564	279896
fa	4172356836	25942706282	240601690549	19283885
fi	2036326882	6248517240	52779704617	7999116
fj	217736	1095715	8049904	4753
fo	7143059	26350141	187197055	56603
fr	42781493469	184677301162	1168041843628	99722732
fy	9386630	60904612	461041211	67542
ga	29892920	124313898	869142272	228660
gd	6078910	25528747	209569637	58627
gl	77356909	362167645	2400757576	637725
gn	4072678	20315568	148582624	52468
gu	15645247	89072008	1144858047	119129
gv	3083344	13176337	100928843	40230
ha	3699285	17006207	109966026	29126
haw	5662317	20048160	128332185	49341
hi	755293873	4266677841	52583345664	4334332
hmn	2309287	10568811	62072695	16048
hr	631786630	3052779979	22914536761	3463844
ht	4965353	31423773	177870026	41581
hu	3138193765	11006308004	90127715620	13209322
hy	83277565	359881057	4764425651	547718
ia	6827701	31985713	218330995	53515
id	4178996564	59674653513	434645019003	24332266
ie	168565966	1121544185	7744468268	301700
ig	1726057	6523890	44289302	9221
ik	107729	635941	5711534	3158
is	120078703	437138562	3207376789	407926
it	7149127938	37309461073	250703781475	28860838
iu	310266	1344606	20843059	3074
iw	1081227042	4744613631	46131686574	5463218
ja	23070631835	41953131705	1010154699552	123839337
jw	11159501	69225755	487032304	69252
ka	87511051	524847142	7639139001	496803
kha	6335419	29917264	177504139	28965
kk	78243989	353018464	4791471444	308190
kl	496999	2011750	21786195	9182
km	33092079	99773156	2113429940	233778
kn	27098551	111127069	1637867516	135790
ko	10312885022	29456593536	304554470747	52498338
ks	18231	232046	2063915	144
ku	7953753	50800710	605653136	69283
ky	5140445	21950221	286040797	28982
la	713705972	3784131918	25470045864	6570409
lb	15251032	57061146	405180810	107970
lg	551499	2896051	23942216	7407
lif	547	1542	18598	8
ln	1947488	8138599	53787687	17971
lo	29443368	70064710	1422137561	69164
lt	729641686	2885902033	22996281896	3680345
lv	682773172	2424825538	18994680431	2694332
mfe	2400948	9976184	64250827	23013
mg	7389682	45744524	315018191	46055
mi	4751004	24388183	152200565	28864
mk	85954233	406619322	4363074785	385794
ml	69272472	437696314	7864822498	351437
mn	45066376	199746515	2560203531	319828
mr	47769800	227919033	3544143412	250397
ms	857245566	3275677097	21568174000	3511448
mt	83197020	209234232	1427833875	188094
my	71948446	333272918	3766720584	183184
na	1437520	4415515	28630459	19645
ne	52026314	344934050	5272363251	564893
nl	13933924170	50320404705	371860849270	39199557
nn	39401284	150905235	1025643543	246884
no	1727627833	5841600717	40073256568	6348935
nr	595	5155	75035	25
nso	42204	423078	3137680	1133
ny	1944037	10683746	74514484	12792
oc	5653740	23849693	164928443	34812
om	1988376	9685841	71750388	22869
or	3357174	16610987	225684651	37801
pa	28648045	139375307	1662075331	244965
pl	6734315520	25948247563	194451492134	30587917
ps	30165791	139781104	1117237639	120090
pt	12536645930	65492895549	439549612008	66552187
qu	707449	3559382	24213344	7230
rm	6515812	21531466	148085788	115534
rn	388779	1376521	10861676	6285
ro	1792516604	7870330399	53544572087	7657671
