index	TB/day min	TB/day max	nwarcs	unknown hostname:TB/day min	unknown hostname:TB/day max	unknown hostname:nwarcs	ts
count	2017.0	2017.0	2017.0	2017.0	2017.0	2017.0	2017
mean	25.36201204790833	25.401857831279802	157.7704511650967	25.36201204790833	25.401857831279802	157.7704511650967	2025-03-08 14:33:25.331095808
min	0.0	0.12060727024361664	1.0	0.0	0.12060727024361664	1.0	2025-03-01 14:33:25.331096
25%	8.250412489059736	8.250412489059736	73.0	8.250412489059736	8.250412489059736	73.0	2025-03-05 02:33:25.331096064
50%	13.020531435397857	13.020531435397857	88.0	13.020531435397857	13.020531435397857	88.0	2025-03-08 14:33:25.331096064
75%	60.21045939330807	60.33106666355168	354.0	60.21045939330807	60.33106666355168	354.0	2025-03-12 02:33:25.331096064
max	107.21916712133924	107.33977439158285	573.0	107.21916712133924	107.33977439158285	573.0	2025-03-15 14:33:25.331096
std	27.25432152143811	27.297769446121745	145.46307200423564	27.25432152143811	27.297769446121745	145.46307200423564	
