17K	/nird/home/nikolare/hplt/public/two/cleaned/ace_Arab
81K	/nird/home/nikolare/hplt/public/two/cleaned/kas_Deva
449K	/nird/home/nikolare/hplt/public/two/cleaned/nus_Latn
481K	/nird/home/nikolare/hplt/public/two/cleaned/kmb_Latn
545K	/nird/home/nikolare/hplt/public/two/cleaned/knc_Arab
817K	/nird/home/nikolare/hplt/public/two/cleaned/kas_Arab
913K	/nird/home/nikolare/hplt/public/two/cleaned/mos_Latn
961K	/nird/home/nikolare/hplt/public/two/cleaned/kam_Latn
1.1M	/nird/home/nikolare/hplt/public/two/cleaned/bjn_Arab
1.2M	/nird/home/nikolare/hplt/public/two/cleaned/dyu_Latn
1.2M	/nird/home/nikolare/hplt/public/two/cleaned/fon_Latn
1.5M	/nird/home/nikolare/hplt/public/two/cleaned/mag_Deva
1.5M	/nird/home/nikolare/hplt/public/two/cleaned/taq_Latn
1.7M	/nird/home/nikolare/hplt/public/two/cleaned/kea_Latn
1.8M	/nird/home/nikolare/hplt/public/two/cleaned/cjk_Latn
2.1M	/nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt
2.2M	/nird/home/nikolare/hplt/public/two/cleaned/lua_Latn
2.2M	/nird/home/nikolare/hplt/public/two/cleaned/ssw_Latn
2.6M	/nird/home/nikolare/hplt/public/two/cleaned/dik_Latn
2.7M	/nird/home/nikolare/hplt/public/two/cleaned/kik_Latn
2.7M	/nird/home/nikolare/hplt/public/two/cleaned/knc_Latn
2.8M	/nird/home/nikolare/hplt/public/two/cleaned/sat_Olck
2.9M	/nird/home/nikolare/hplt/public/two/cleaned/kon_Latn
3.8M	/nird/home/nikolare/hplt/public/two/cleaned/sag_Latn
3.8M	/nird/home/nikolare/hplt/public/two/cleaned/umb_Latn
3.9M	/nird/home/nikolare/hplt/public/two/cleaned/bug_Latn
4.8M	/nird/home/nikolare/hplt/public/two/cleaned/hne_Deva
5.0M	/nird/home/nikolare/hplt/public/two/cleaned/bam_Latn
5.0M	/nird/home/nikolare/hplt/public/two/cleaned/luo_Latn
5.1M	/nird/home/nikolare/hplt/public/two/cleaned/ayr_Latn
5.1M	/nird/home/nikolare/hplt/public/two/cleaned/mni_Beng
5.7M	/nird/home/nikolare/hplt/public/two/cleaned/tum_Latn
5.8M	/nird/home/nikolare/hplt/public/two/cleaned/wol_Latn
5.9M	/nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn
5.9M	/nird/home/nikolare/hplt/public/two/cleaned/kbp_Latn
7.0M	/nird/home/nikolare/hplt/public/two/cleaned/tsn_Latn
7.2M	/nird/home/nikolare/hplt/public/two/cleaned/twi_Latn
7.4M	/nird/home/nikolare/hplt/public/two/cleaned/kac_Latn
7.4M	/nird/home/nikolare/hplt/public/two/cleaned/nso_Latn
8.2M	/nird/home/nikolare/hplt/public/two/cleaned/war_Latn
8.5M	/nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn
8.5M	/nird/home/nikolare/hplt/public/two/cleaned/ltg_Latn
8.6M	/nird/home/nikolare/hplt/public/two/cleaned/shn_Mymr
8.9M	/nird/home/nikolare/hplt/public/two/cleaned/bem_Latn
8.9M	/nird/home/nikolare/hplt/public/two/cleaned/lij_Latn
8.9M	/nird/home/nikolare/hplt/public/two/cleaned/pag_Latn
9.2M	/nird/home/nikolare/hplt/public/two/cleaned/lin_Latn
9.7M	/nird/home/nikolare/hplt/public/two/cleaned/fij_Latn
13M	/nird/home/nikolare/hplt/public/two/cleaned/awa_Deva
14M	/nird/home/nikolare/hplt/public/two/cleaned/ace_Latn
15M	/nird/home/nikolare/hplt/public/two/cleaned/tso_Latn
16M	/nird/home/nikolare/hplt/public/two/cleaned/bjn_Latn
17M	/nird/home/nikolare/hplt/public/two/cleaned/kab_Latn
