Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
151	:	1725655426.959	     0.968	0	98	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/dzo_Tibt/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
140	:	1725655426.878	     1.131	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kac_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kac_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
131	:	1725655426.824	     1.268	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/fuv_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
147	:	1725655426.929	     1.172	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/ewe_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
173	:	1725655427.347	     0.759	0	98	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/mag_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/mag_Deva/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
178	:	1725655427.371	     0.848	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/sag_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/sag_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
183	:	1725655427.419	     0.881	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/luo_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/luo_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
176	:	1725655427.361	     1.049	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/tum_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/tum_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
74	:	1725655426.510	     2.066	0	99	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/bjn_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/bjn_Latn/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
258	:	1725655428.612	     0.082	0	97	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/cleaned/kas_Deva/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/cleaned/kas_Deva/1.jsonl.zst|jq -r .text|wc --lines --words --chars --bytes
