group	collection	comment
ia_archivebot	archivebot
cc_o	cc13
cc_o	cc14
cc_m	cc15
cc_m	cc16
cc_n	cc17
cc_n	cc18
cc_n	cc19
cc_n	cc20
cc_r	cc21
cc_r	cc22
cc_r	cc23
cc_r	cc24
ia_n	wide17	2018-2020
ia_n	wide16	2017-2018
ia_m	wide15	2016-2017
ia_survey	survey3	2015-2016
ia_m	wide12	2015
ia_o	wide10	2014
ia_o	wide11	2014
ia_o	wide6	2012-2013
ia_o	wide5	2012-2012
