ace_Arab,OK,>1	3699097	634305530	95748.0
ace_Arab,['UnicodeDecodeError'],>1	34359	2065373	1208.0
ace_Latn,OK,>1	283369504	14313487411	11578263.0
ace_Latn,['UnicodeDecodeError'],>1	3666982	243614646	85313.0
afr_Latn,OK,1	20	20	20.0
afr_Latn,OK,>1	2027862845	89674496507	76589910.0
afr_Latn,['UnicodeDecodeError'],>1	11774705	655741910	286451.0
als_Latn,OK,>1	1080948512	78386694047	41889105.0
als_Latn,['UnicodeDecodeError'],>1	11186891	1038839871	434656.0
amh_Ethi,OK,1	26082859	26082857	26082857.0
amh_Ethi,OK,>1	3590676294	107442899673	152024826.0
amh_Ethi,['UnicodeDecodeError'],1	258262	258262	258262.0
amh_Ethi,['UnicodeDecodeError'],>1	16266131	434319258	1819700.0
ara_Arab,OK,1	163	163	163.0
ara_Arab,OK,>1	14042332679	954238006370	584722803.0
ara_Arab,['UnicodeDecodeError'],1	5	5	5.0
ara_Arab,['UnicodeDecodeError'],>1	230155800	28219383866	9176181.0
asm_Beng,OK,1	1	1	1.0
asm_Beng,OK,>1	7450233	892938437	474111.0
asm_Beng,['UnicodeDecodeError'],>1	117795	6237742	5876.0
ast_Latn,OK,>1	3135835777	127207967484	125349920.0
ast_Latn,['UnicodeDecodeError'],>1	30476162	1654684004	2433961.0
awa_Deva,OK,>1	291743105	8791970067	4477045.0
awa_Deva,['UnicodeDecodeError'],>1	1568338	52406378	28614.0
ayr_Latn,OK,>1	559605131	16438862008	27599535.0
ayr_Latn,['UnicodeDecodeError'],>1	6989220	230672591	367851.0
azb_Arab,OK,>1	30263414	1444319060	930067.0
azb_Arab,['UnicodeDecodeError'],>1	292603	13319333	15896.0
azj_Latn,OK,1	162	162	162.0
azj_Latn,OK,>1	1472322769	95179820000	64348876.0
azj_Latn,['UnicodeDecodeError'],1	2	2	2.0
azj_Latn,['UnicodeDecodeError'],>1	34471100	2683059048	1835052.0
bak_Cyrl,OK,1	403	403	403.0
bak_Cyrl,OK,>1	64538932	3178515993	5794587.0
bak_Cyrl,['UnicodeDecodeError'],1	39	39	39.0
bak_Cyrl,['UnicodeDecodeError'],>1	4927454	94386197	116208.0
bam_Latn,OK,1	464761	464761	464761.0
bam_Latn,OK,>1	121488606	2324739029	21742990.0
bam_Latn,['UnicodeDecodeError'],1	1935	1935	1935.0
bam_Latn,['UnicodeDecodeError'],>1	1077468	21731924	246165.0
ban_Latn,OK,>1	523849228	12343219013	6476350.0
ban_Latn,['UnicodeDecodeError'],>1	518441	23363009	17419.0
bel_Cyrl,OK,1	1362	1362	1362.0
bel_Cyrl,OK,>1	829821175	61260345690	37190939.0
bel_Cyrl,['UnicodeDecodeError'],1	444	444	444.0
bel_Cyrl,['UnicodeDecodeError'],>1	8778682	573266021	325709.0
bem_Latn,OK,>1	294005865	5301263433	13732653.0
bem_Latn,['UnicodeDecodeError'],>1	1024765	17019122	50188.0
ben_Beng,OK,1	73	73	73.0
ben_Beng,OK,>1	11682988653	306570236145	53472792.0
ben_Beng,['UnicodeDecodeError'],>1	19152700	2205277910	890562.0
bho_Deva,OK,1	297	297	297.0
