lang	text_newlines	text_wcwords	text_bytes	docs
aa	3250505	8852236	76219215	12463
ab	254938	994286	13899153	3344
af	1235247048	4978050138	38249795070	3492068
ak	1035647	3234934	23675326	3532
am	23777999	186774955	1889126108	102555
ar	29472370467	153579398795	1572877645707	144609117
as	1870473	7325724	92483422	8514
ay	537918	1678467	15938381	1910
az	2220578696	7489945046	64574207795	7191481
ba	2040566	15650990	190281075	13156
be	742359466	3810699664	57072806608	2939810
bg	9679881705	36801165623	419884260042	31044604
bh	3832022	20363377	190242555	12195
bi	2025383	18156944	103719677	7528
bn	13626403073	39393471203	620563416773	16589594
bo	1089960	3144412	116546010	10274
br	6902040	30699628	220993998	44416
bs	162848813	797834733	5395097320	917409
ca	2550956815	8164787613	55308872539	7962988
ceb	5232118	32409443	204735839	18175
chr	96030	578563	5798711	1127
co	530383209	1328012788	8922849778	562564
crs	2893300	11636459	83983306	12264
cs	35368540594	121398138575	857568787531	104568055
cy	40002352	163524993	1076357743	167786
da	30934936092	94729446167	649369482107	597236020
de	136744642736	499358110342	3803688204597	514945320
dv	319424	1777209	25762494	3255
dz	266914	837742	10005313	3152
el	30346693528	124419676807	1379975120309	77247914
en	1013690310531	3977859338370	27244055199519	4403491094
eo	10997489	50460919	342389480	69746
es	76484238726	337651667702	2222413576789	300753358
et	4179524955	13870088885	108500173798	11627213
eu	66042009	303833695	2296725932	407018
fa	47657655283	223184638205	2061862349519	122371309
fi	16537675433	48563660383	407180608856	55603816
fj	1421321	6283863	43410649	5165
fo	8953823	30828667	216491716	47990
fr	84156225128	346030494194	2345508830008	324181443
fy	8144787	53353989	398750032	61005
ga	277566263	1023943923	7263817630	2196486
gd	8954291	32855646	230872448	47720
gl	227568973	759436501	5000324646	1034740
gn	10718022	45077199	313576068	64518
gu	93754488	360325875	4582059022	272902
gv	7863262	29926754	191328577	30709
ha	6551173	25047944	168547093	45963
haw	8202060	31132855	208308487	22845
hi	6509826988	25902760930	317088653350	21711115
hmn	5273930	38175902	210558765	26437
hr	5468929198	17259497928	120974384023	14044033
ht	41822187	239328046	1576398525	402018
hu	23733651180	75425697200	621677757231	80501213
hy	813621732	2382497607	26492994851	1997076
ia	8250527	30427150	210146171	56507
id	13741230239	57611693903	398758188147	48374419
ie	8019847	26507433	202977263	49677
ig	2157378	8293693	58518631	14060
ik	1534714	2605847	25312039	3080
is	457157776	1626080234	12414746729	1437659
it	55166431914	207447558262	1456667844640	185354661
iu	495392	1855538	26844431	4195
iw	10445562664	38215342037	364024775061	29552732
ja	98157397427	165621113718	2874539840752	298249275
jw	15978794	62882658	443122198	111451
ka	1750170920	5267949433	73127751893	4027429
kha	26943101	153560311	1018515530	126577
kk	349540155	1320212566	17176764782	2271161
kl	2065987	11819582	121203193	15326
km	41480450	117285895	2882294663	299853
kn	631910363	1427357216	19187807702	1280440
ko	31378180642	88117382604	814542365029	106049834
ks	809	5235	40434	53
ku	48360001	235101317	2566165935	231648
ky	22510274	122137952	1626117794	155243
la	581023241	1986649967	14020313423	1632687
lb	10954642	35364342	266550767	62000
lg	1960891	9044060	71975238	9594
lif	18445	492694	10571230	12
ln	6615503	25677567	169672236	49787
lo	320681425	700354833	15142088464	272935
lt	5838613139	21888971144	163370861473	19567100
lv	5236878143	20523188941	167831060451	13515144
mfe	2245247	11843157	78895080	17124
mg	17956965	51609918	350208859	62583
mi	7046074	31932212	205245428	43824
mk	512014954	1566664714	16435817047	1558276
ml	133279176	567014802	10626655218	561542
mn	239076437	954444249	11205014011	1003803
mr	133802297	672220309	9297552483	439955
ms	5138679940	20037881397	128029506649	10858941
mt	241092673	994359552	7242326513	560036
my	496817770	1969565135	26094470053	1032430
na	1010493	2270217	21185767	3541
ne	39024209	236459885	3430493388	352199
nl	28766570431	110239104327	848983516886	82995930
nn	125251197	507328809	3903872881	495188
no	9764735544	31041102563	219090177895	36928686
nr	5329	13025	151274	18
nso	343400	1776442	11797552	2038
ny	2827670	14796609	112033250	16282
oc	13709156	53166999	369803044	67405
om	2817866	22537766	155596682	11711
or	3938228	16901428	242379663	22258
pa	256079825	866292570	10736967093	1892821
pl	53515854281	222725433159	1601488652457	194644283
ps	16686011	111187745	822885289	87615
pt	70604644584	272329618737	1798453215952	234931254
qu	1839729	9900376	91804834	7540
rm	6239400	20147359	146331069	28163
rn	3627850	7797810	58247152	14098
ro	22208038732	85425186922	727157320558	58823672
ru	295037096387	1148875344019	13790449772897	850983975
rw	16386611	86762784	604411708	200573
sa	50690439	225947668	2111900790	196137
sco	30918569	127341792	829141245	128210
sd	5485951	34474154	293429704	40205
sg	679365	2422263	18069643	7403
si	133868803	881031095	11198702356	538044
sk	21706617485	67714799991	496794399813	59311463
sl	3731344958	14154022560	100851530182	9471277
sm	6900128	23012769	145101238	25878
sn	2514713	8456243	68599056	15319
so	21264876	119885643	819120720	185871
sq	1611322984	6809568599	50748310206	5876592
sr	6995742533	22355670212	176663200114	18171530
ss	1382226	3099821	31004786	4164
st	3342267	11790843	87120833	18011
su	2392704	9737107	74781279	20307
sv	11857284397	39681342469	285740285318	42507355
sw	178069219	993736823	6672566541	1445077
syr	319485	3561544	45251805	2797
ta	377375725	2352721297	39383200468	1224949
te	318258594	1203307951	18016272592	2332760
tg	22016169	92756071	1076980198	168643
th	14727056104	40213624898	793682096488	54414016
ti	9669334	47231552	419754946	35457
tk	134596191	362510805	2756778148	250193
tl	1520104547	5241453518	36315800471	3875949
tlh	1977857	5649665	49392605	11658
tn	1599221	5976741	46060929	11444
to	1133810	8246204	51436803	5326
tr	24469131991	109312331954	826969059273	97462280
ts	1318326	4970071	35458962	5617
tt	23917155	86861425	971418583	108119
ug	10202830	53357698	742054956	103859
uk	8140200589	30680547059	376644454813	22285160
unk	710515876846	2409145924315	22509052692817	2536831841
ur	1119723963	4538416328	33861335991	4326264
uz	96035974	482171011	5253099614	534968
ve	391180	1440145	10794082	1672
vi	17532723068	106362422613	647589902462	63248437
vo	30909086	96857147	733358904	51170
war	198286992	742906823	5416830590	902939
wo	1786085	6131130	44577330	8790
xh	13359688	44184679	310942908	51534
xx-Avst	6878	15359	99660	62
xx-Bali	390	1849	16218	3
xx-Bamu	387411	459035	2657104	586
xx-Batk	2327	5242	31937	22
xx-Bopo	4560	11320	99872	29
xx-Brah	16941	31374	195608	108
