Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
22	:	1725691904.634	     0.194	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/kas_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/kas_Arab/1.jsonl.zst|wc --lines
3	:	1725691904.610	     0.445	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/umb_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/umb_Latn/1.jsonl.zst|wc --lines
27	:	1725691904.640	     0.727	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/mni_Beng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/mni_Beng/1.jsonl.zst|wc --lines
83	:	1725691904.724	     0.660	0	81	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/tzm_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/tzm_Tfng/1.jsonl.zst|wc --lines
185	:	1725691905.455	     0.085	0	80	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/taq_Tfng/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/taq_Tfng/1.jsonl.zst|wc --lines
181	:	1725691905.384	     0.243	0	81	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/knc_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/knc_Arab/1.jsonl.zst|wc --lines
34	:	1725691904.649	     1.330	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/knc_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/knc_Latn/1.jsonl.zst|wc --lines
159	:	1725691905.167	     0.820	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/ace_Arab/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/ace_Arab/1.jsonl.zst|wc --lines
182	:	1725691905.390	     0.902	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/dyu_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/dyu_Latn/1.jsonl.zst|wc --lines
170	:	1725691905.228	     1.120	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/kon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/kon_Latn/1.jsonl.zst|wc --lines
157	:	1725691905.156	     1.340	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/fon_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/fon_Latn/1.jsonl.zst|wc --lines
124	:	1725691904.959	     1.843	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/kik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/kik_Latn/1.jsonl.zst|wc --lines
64	:	1725691904.691	     2.285	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/dik_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/dik_Latn/1.jsonl.zst|wc --lines
189	:	1725691905.571	     1.717	0	83	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/lua_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/lua_Latn/1.jsonl.zst|wc --lines
244	:	1725691907.135	     0.865	0	82	0	0	set -o pipefail; echo /nird/home/nikolare/hplt/public/two/collections_merged/cjk_Latn/1.jsonl.zst|tr '\n' ' '; zstdcat /nird/home/nikolare/hplt/public/two/collections_merged/cjk_Latn/1.jsonl.zst|wc --lines
