path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/collections_merged/taq_Tfng/1.jsonl.zst    1079   21318  149823  378673
/nird/home/nikolare/hplt/public/two/collections_merged/knc_Arab/1.jsonl.zst  171982 1011634 4580298 7801229
/nird/home/nikolare/hplt/public/two/collections_merged/kas_Arab/1.jsonl.zst  544998 2723936 21597040 28253665
/nird/home/nikolare/hplt/public/two/collections_merged/ace_Arab/1.jsonl.zst  825077 3348713 25689522 28542495
/nird/home/nikolare/hplt/public/two/collections_merged/mni_Beng/1.jsonl.zst  612727 3778049 26578719 59360052
/nird/home/nikolare/hplt/public/two/collections_merged/tzm_Tfng/1.jsonl.zst  324493 1240538 15972831 42414361
/nird/home/nikolare/hplt/public/two/collections_merged/umb_Latn/1.jsonl.zst 1090187 6392060 43811012 45411101
/nird/home/nikolare/hplt/public/two/collections_merged/knc_Latn/1.jsonl.zst 1231500 8938757 51158281 55447325
/nird/home/nikolare/hplt/public/two/collections_merged/dyu_Latn/1.jsonl.zst  198565 2068713 11852236 12540962
/nird/home/nikolare/hplt/public/two/collections_merged/fon_Latn/1.jsonl.zst  522759 9081382 57057530 73185040
/nird/home/nikolare/hplt/public/two/collections_merged/cjk_Latn/1.jsonl.zst  820230 3792199 27545263 28267202
/nird/home/nikolare/hplt/public/two/collections_merged/dik_Latn/1.jsonl.zst 1477636 14173267 72426907 93554610
/nird/home/nikolare/hplt/public/two/collections_merged/shn_Mymr/1.jsonl.zst  406316 2985577 33503762 83387927
/nird/home/nikolare/hplt/public/two/collections_merged/kon_Latn/1.jsonl.zst  626528 4108503 25656990 26737520
/nird/home/nikolare/hplt/public/two/collections_merged/kas_Deva/1.jsonl.zst  938522 5183833 37194141 53685059
/nird/home/nikolare/hplt/public/two/collections_merged/tum_Latn/1.jsonl.zst 2333300 16117797 142194892 144258252
/nird/home/nikolare/hplt/public/two/collections_merged/tso_Latn/1.jsonl.zst 3374428 21879999 151717455 154017521
